Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"Greenop et al., 2014",,15.89,,,281,mean,237,333,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),194,385,site 761B
"Greenop et al., 2014",,15.95,,,291,mean,236,369,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),181,448,site 761B
"Greenop et al., 2014",,15.96,,,318,mean,268,379,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),219,440,site 761B
"Greenop et al., 2014",,15.98,,,595,mean,496,727,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),398,859,site 761B
"Greenop et al., 2014",,15.99,,,322,mean,271,387,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),220,451,site 761B
"Greenop et al., 2014",,16.06,,,293,mean,247,348,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),201,402,site 761B
"Greenop et al., 2014",,16.12,,,406,mean,334,503,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),262,601,site 761B
"Greenop et al., 2014",,16.15,,,309,mean,261,366,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),214,423,site 761B
"Greenop et al., 2014",,16.18,,,271,mean,229,322,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),188,373,site 761B
"Greenop et al., 2014",,16.21,,,236,mean,197,287,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),157,338,site 761B
"Greenop et al., 2014",,16.24,,,477,mean,390,603,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),304,728,site 761B
"Greenop et al., 2014",,16.27,,,278,mean,235,328,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),193,378,site 761B
"Greenop et al., 2014",,16.30,,,467,mean,392,561,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),317,655,site 761B
"Greenop et al., 2014",,16.33,,,262,mean,223,309,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),183,357,site 761B
"Greenop et al., 2014",,16.37,,,502,mean,421,606,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),341,710,site 761B
"Greenop et al., 2014",,16.40,,,430,mean,362,516,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),293,602,site 761B
"Greenop et al., 2014",,16.42,,,221,mean,189,261,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),156,300,site 761B
"Greenop et al., 2014",,16.47,,,532,mean,425,701,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),319,870,site 761B
"Greenop et al., 2014",,16.59,,,271,mean,230,319,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),188,368,site 761B
"Greenop et al., 2014",,16.65,,,242,mean,204,284,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),167,327,site 761B
"Greenop et al., 2014",,16.69,,,236,mean,199,282,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),162,329,site 761B
"Greenop et al., 2014",,16.76,,,338,mean,285,405,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),231,472,site 761B
"Greenop et al., 2014",,16.98,,,207,mean,172,250,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),138,293,site 761B
"Greenop et al., 2014",,17.11,,,252,mean,215,297,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),177,342,site 761B
"Martinez-Boti et al., 2015",,2.34,,,317,median,281,354,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),281,354,ODP 999
"Martinez-Boti et al., 2015",,2.35,,,318,median,279,357,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),279,357,ODP 999
"Martinez-Boti et al., 2015",,2.35,,,306,median,271,342,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),271,342,ODP 999
"Martinez-Boti et al., 2015",,2.36,,,450,median,395,505,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),395,505,ODP 999
"Martinez-Boti et al., 2015",,2.37,,,415,median,366,463,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),366,463,ODP 999
"Martinez-Boti et al., 2015",,2.38,,,371,median,328,416,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),328,416,ODP 999
"Martinez-Boti et al., 2015",,2.39,,,377,median,334,421,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),334,421,ODP 999
"Martinez-Boti et al., 2015",,2.41,,,278,median,245,310,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),245,310,ODP 999
"Martinez-Boti et al., 2015",,2.42,,,332,median,294,371,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),294,371,ODP 999
"Martinez-Boti et al., 2015",,2.45,,,320,median,283,358,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),283,358,ODP 999
"Martinez-Boti et al., 2015",,2.47,,,340,median,302,379,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),302,379,ODP 999
"Martinez-Boti et al., 2015",,2.50,,,357,median,316,398,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),316,398,ODP 999
"Martinez-Boti et al., 2015",,2.50,,,362,median,321,403,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),321,403,ODP 999
"Martinez-Boti et al., 2015",,2.52,,,246,median,218,275,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),218,275,ODP 999
"Martinez-Boti et al., 2015",,2.55,,,335,median,297,374,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),297,374,ODP 999
"Martinez-Boti et al., 2015",,2.56,,,300,median,265,335,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),265,335,ODP 999
"Martinez-Boti et al., 2015",,2.58,,,330,median,292,368,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),292,368,ODP 999
"Martinez-Boti et al., 2015",,2.59,,,362,median,319,405,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),319,405,ODP 999
"Martinez-Boti et al., 2015",,2.62,,,279,median,246,311,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),246,311,ODP 999
"Martinez-Boti et al., 2015",,2.62,,,305,median,270,340,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),270,340,ODP 999
"Martinez-Boti et al., 2015",,2.63,,,245,median,216,274,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),216,274,ODP 999
"Martinez-Boti et al., 2015",,2.65,,,282,median,249,315,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),249,315,ODP 999
"Martinez-Boti et al., 2015",,2.66,,,302,median,267,336,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),267,336,ODP 999
"Martinez-Boti et al., 2015",,2.67,,,263,median,232,294,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),232,294,ODP 999
"Martinez-Boti et al., 2015",,2.68,,,323,median,286,360,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),286,360,ODP 999
"Martinez-Boti et al., 2015",,2.69,,,284,median,251,317,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),251,317,ODP 999
"Martinez-Boti et al., 2015",,2.70,,,276,median,244,308,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),244,308,ODP 999
"Martinez-Boti et al., 2015",,2.70,,,234,median,205,265,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),205,265,ODP 999
"Martinez-Boti et al., 2015",,2.70,,,319,median,282,357,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),282,357,ODP 999
"Martinez-Boti et al., 2015",,2.71,,,262,median,231,294,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),231,294,ODP 999
"Martinez-Boti et al., 2015",,2.75,,,339,median,300,378,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),300,378,ODP 999
"Martinez-Boti et al., 2015",,2.75,,,321,median,283,360,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),283,360,ODP 999
"Martinez-Boti et al., 2015",,2.76,,,358,median,317,400,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),317,400,ODP 999
"Martinez-Boti et al., 2015",,2.78,,,279,median,247,312,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),247,312,ODP 999
"Martinez-Boti et al., 2015",,2.80,,,281,median,249,314,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),249,314,ODP 999
"Martinez-Boti et al., 2015",,2.83,,,317,median,281,355,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),281,355,ODP 999
"Martinez-Boti et al., 2015",,2.83,,,361,median,314,408,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),314,408,ODP 999
"Martinez-Boti et al., 2015",,2.84,,,388,median,343,433,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),343,433,ODP 999
"Martinez-Boti et al., 2015",,2.85,,,308,median,272,343,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),272,343,ODP 999
"Martinez-Boti et al., 2015",,2.86,,,445,median,392,498,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),392,498,ODP 999
"Martinez-Boti et al., 2015",,2.91,,,371,median,328,413,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),328,413,ODP 999
"Martinez-Boti et al., 2015",,2.92,,,377,median,334,420,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),334,420,ODP 999
"Martinez-Boti et al., 2015",,2.94,,,337,median,299,376,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),299,376,ODP 999
"Martinez-Boti et al., 2015",,2.95,,,358,median,317,400,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),317,400,ODP 999
"Martinez-Boti et al., 2015",,2.95,,,419,median,366,473,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),366,473,ODP 999
"Martinez-Boti et al., 2015",,2.96,,,346,median,307,385,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),307,385,ODP 999
"Martinez-Boti et al., 2015",,2.98,,,328,median,291,366,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),291,366,ODP 999
"Martinez-Boti et al., 2015",,3.00,,,369,median,327,412,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),327,412,ODP 999
"Martinez-Boti et al., 2015",,3.01,,,357,median,316,399,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),316,399,ODP 999
"Martinez-Boti et al., 2015",,3.03,,,381,median,338,425,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),338,425,ODP 999
"Martinez-Boti et al., 2015",,3.04,,,419,median,369,470,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),369,470,ODP 999
"Martinez-Boti et al., 2015",,3.05,,,418,median,371,467,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),371,467,ODP 999
"Martinez-Boti et al., 2015",,3.06,,,361,median,319,405,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),319,405,ODP 999
"Martinez-Boti et al., 2015",,3.06,,,413,median,365,462,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),365,462,ODP 999
"Martinez-Boti et al., 2015",,3.07,,,380,median,336,425,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),336,425,ODP 999
"Martinez-Boti et al., 2015",,3.09,,,334,median,296,374,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),296,374,ODP 999
"Martinez-Boti et al., 2015",,3.10,,,319,median,282,357,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),282,357,ODP 999
"Martinez-Boti et al., 2015",,3.11,,,392,median,347,438,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),347,438,ODP 999
"Martinez-Boti et al., 2015",,3.13,,,345,median,305,386,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),305,386,ODP 999
"Martinez-Boti et al., 2015",,3.14,,,334,median,295,373,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),295,373,ODP 999
"Martinez-Boti et al., 2015",,3.15,,,403,median,343,466,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),343,466,ODP 999
"Martinez-Boti et al., 2015",,3.16,,,340,median,301,379,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),301,379,ODP 999
"Martinez-Boti et al., 2015",,3.17,,,452,median,400,505,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),400,505,ODP 999
"Martinez-Boti et al., 2015",,3.18,,,381,median,337,424,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),337,424,ODP 999
"Martinez-Boti et al., 2015",,3.19,,,283,median,251,317,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),251,317,ODP 999
"Martinez-Boti et al., 2015",,3.20,,,331,median,294,370,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),294,370,ODP 999
"Martinez-Boti et al., 2015",,3.21,,,326,median,289,365,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),289,365,ODP 999
