Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"Beerling, 2002",Westphalian,313.5,319.0,308.0,358,mean,251,591,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,326,390,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,303,mean,212,500,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,272,334,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,367,mean,257,606,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,333,401,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,350,mean,245,578,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,316,384,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,401,mean,281,662,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,367,435,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,287,mean,201,474,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,254,320,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,311,mean,218,513,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,278,344,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,284,mean,199,469,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,253,315,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,325,mean,228,536,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,294,356,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Namurian,324.0,329.0,319.0,385,mean,270,635,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,351,419,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Namurian,324.0,329.0,319.0,392,mean,274,647,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,359,425,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Namurian,324.0,329.0,319.0,359,mean,251,592,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,327,391,stomatal index (fossil species not the same as the calibrated species)
"Beerling & Royer, 2002",Middle Jurassic,168.4,175.6,161.2,816,mean,544,1088,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",544,1088,stomatal ratio
"Beerling et al., 2002 (updated by Beerling et al., 2009)","early Paleocene (Kvacek et al., 1994); Basilika site",63.8,66.0,61.6,367,median,337,571,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),324,707,stomatal index
"Beerling et al., 2002 (updated by Beerling et al., 2009)","radiometric dating (Raynolds et al., 2001, p. 21); DMNH 2360",64.1,64.3,63.9,330,median,321,401,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),317,448,stomatal index
"Beerling et al., 2002 (updated by Beerling et al., 2009)","Puercan (Wing et al., 1995); LJH 7659",65.4,66.0,64.8,343,median,329,541,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),323,673,stomatal index
"Beerling et al., 2002 (updated by Beerling et al., 2009)","Puercan (Wing et al., 1995); LJH 7423",65.4,66.0,64.8,470,median,370,642,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),327,757,stomatal index
"Beerling et al., 2002 (updated by Beerling et al., 2009)","35.2 m below the KTB; HCIIa floral zone; ~0.5 Myrs before KTB (Hicks et al., 2002); DMNH 566",66.5,67.0,66.0,539,median,400,687,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),340,786,stomatal index
"Royer, 2003 (updated by Beerling et al., 2009)","1.7 Myrs after the PETM (Age Model 2 in Wing et al., 2000); SLW H",54.3,54.4,54.2,515,median,393,671,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),341,775,stomatal ratio
"Royer, 2003 (updated by Beerling et al., 2009)","Torrejonian-Tiffanian (Dunn, 2003); DMNH 2644",61.1,64.8,57.4,317,median,311,325,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),308,330,stomatal index
"Greenwood et al., 2003",late Early Eocene,49.9,52.0,47.8,659,mean,439,878,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",439,878,stomatal ratio
"Roth & Konrad, 2003",Pragian (Lower Devonian),409.2,410.8,407.6,2836,mean,2505,4561,"not clear: the reported range is based on a plausible range in the input factors; in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error",right skewed (mode < mean),2505,4561,gas exchange
"McElwain et al., 2005",Toarcian OAE,182.5,,,1050,mean,800,1300,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",800,1300,stomatal ratio
"McElwain et al., 2005",Toarcian OAE,182.6,,,1550,mean,1200,1900,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",1200,1900,stomatal ratio
"McElwain et al., 2005",Toarcian OAE,182.7,,,550,mean,400,700,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",400,700,stomatal ratio
"McElwain et al., 2005",Toarcian OAE,182.8,,,950,mean,700,1200,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",700,1200,stomatal ratio
"McElwain et al., 2005",Toarcian OAE,182.9,,,950,mean,700,1200,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",700,1200,stomatal ratio
"McElwain et al., 2005",Toarcian OAE,183.0,,,600,mean,500,700,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",500,700,stomatal ratio
"Haworth et al., 2005",late Albian,104.1,107.8,100.5,710,mean,580,1420,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",580,1420,stomatal ratio
"Haworth et al., 2005",early-mid Albian,110.4,113.0,107.8,710,mean,603,1400,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",603,1400,stomatal ratio
"Haworth et al., 2005",mid-late Aptian,116.5,120.0,113.0,700,mean,597,1340,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",597,1340,stomatal ratio
"Haworth et al., 2005",mid Aptian,123.0,125.0,121.0,695,mean,590,1380,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",590,1380,stomatal ratio
"Haworth et al., 2005",early Aptian,124.7,126.3,123.0,630,mean,530,1220,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",530,1220,stomatal ratio
"Haworth et al., 2005",late Barremian,127.9,129.5,126.3,630,mean,530,1250,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",530,1250,stomatal ratio
"Haworth et al., 2005",early Barremian,130.2,130.8,129.5,550,mean,450,1130,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",450,1130,stomatal ratio
"Haworth et al., 2005",late Hauterivian,131.4,132.0,130.8,620,mean,590,1270,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",590,1270,stomatal ratio
"Haworth et al., 2005",early Hauterivian,133.0,133.9,132.0,650,mean,500,1300,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",500,1300,stomatal ratio
"Sun et al., 2007",early Lower Cretaceous,139.5,145.0,133.9,1442,mean,961,1923,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",961,1923,stomatal ratio
"Sun et al., 2007",early Lower Cretaceous,139.5,145.0,133.9,1228,mean,819,1638,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",819,1638,stomatal ratio
"Sun et al., 2007",early Lower Cretaceous,139.5,145.0,133.9,1151,mean,767,1534,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",767,1534,stomatal ratio
"Sun et al., 2007",Bajocian,168.0,168.3,167.7,1031,mean,687,1375,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",687,1375,stomatal ratio
"Sun et al., 2007",Bajocian,168.0,168.3,167.7,926,mean,618,1235,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",618,1235,stomatal ratio
"Sun et al., 2007",Aalenian,172.2,174.1,170.3,896,mean,597,1195,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",597,1195,stomatal ratio
"Sun et al., 2007",Pleinsbachian,186.8,190.8,182.7,942,mean,628,1256,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",628,1256,stomatal ratio
"Kürschner et al., 2008",Late Oligocene,25.6,28.1,23.0,588,mean,412,971,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,533,640,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Aquitanian,22.1,23.6,20.6,333,mean,233,550,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,278,387,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Eggenburgian,20.0,20.3,19.7,332,mean,233,548,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,303,364,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Eggenburgian,19.0,19.5,18.5,397,mean,278,654,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,378,414,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Eggenburgian,19.0,19.2,18.8,459,mean,321,757,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,435,481,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Ottnangian,17.6,18.0,17.2,374,mean,262,617,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,363,385,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Ottnangian,17.6,18.0,17.2,341,mean,239,563,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,324,356,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Ottnangian,17.6,18.0,17.2,388,mean,272,641,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,347,430,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Karpartian,17.0,17.5,16.4,393,mean,275,649,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,373,412,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Early Badenian,16.8,17.2,16.4,425,mean,297,701,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,412,453,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Early Badenian,16.5,17.5,15.5,393,mean,275,649,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,357,428,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008 (updated by Beerling et al., 2009)",Early Badenian,15.8,16.0,15.6,564,median,414,701,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),350,793,stomatal index
"Kürschner et al., 2008 (updated by Beerling et al., 2009)",Early Badenian,15.7,16.4,15.0,555,median,426,695,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),371,788,stomatal index
"Kürschner et al., 2008 (updated by Beerling et al., 2009)",Early Badenian,15.7,16.4,15.0,552,median,416,693,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),357,787,stomatal index
"Kürschner et al., 2008",Early Badenian,15.7,16.4,15.0,449,mean,314,741,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,410,469,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008 (updated by Beerling et al., 2009)",Late Badenian,13.9,14.3,13.5,287,median,262,301,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),251,311,stomatal index
"Kürschner et al., 2008",Late Badenian,13.9,14.3,13.5,293,mean,205,483,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,279,300,stomatal index (fossil species not the same as the calibrated species)
"Kürschner et al., 2008",Bessarabian,11.6,12.2,11.0,332,mean,233,548,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,315,348,stomatal index (fossil species not the same as the calibrated species)
"Quan et al., 2009",Campanian,72.5,83.6,72.1,559,mean,497,819,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",497,819,stomatal ratio
"Quan et al., 2009",Campanian,73.1,83.6,72.1,568,mean,508,836,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",508,836,stomatal ratio
"Quan et al., 2009",Campanian,73.7,83.6,72.1,572,mean,491,938,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",491,938,stomatal ratio
"Quan et al., 2009",Campanian,74.7,83.6,72.1,589,mean,506,1020,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",506,1020,stomatal ratio
