Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"Zhang et al., 2013",,32.04,,,743,mean,688,906,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),688,906,site 925A
"Zhang et al., 2013",,32.58,,,756,mean,698,925,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),698,925,site 925A
"Zhang et al., 2013",,32.83,,,740,mean,671,923,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),671,923,site 925A
"Zhang et al., 2013",,32.91,,,723,mean,654,904,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),654,904,site 925A
"Zhang et al., 2013",,32.97,,,727,mean,653,912,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),653,912,site 925A
"Zhang et al., 2013",,33.45,,,767,mean,698,950,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),698,950,site 925A
"Zhang et al., 2013",,33.57,,,671,mean,612,832,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),612,832,site 925A
"Zhang et al., 2013",,33.69,,,930,mean,792,1234,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),792,1234,site 925A
"Zhang et al., 2013",,34.69,,,1038,mean,953,1278,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),953,1278,site 925A
"Zhang et al., 2013",,35.29,,,879,mean,813,1073,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),813,1073,site 925A
"Zhang et al., 2013",,35.56,,,919,mean,825,1155,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),825,1155,site 925A
"Zhang et al., 2013",,35.86,,,947,mean,881,1150,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),881,1150,site 925A
"Zhang et al., 2013",,36.09,,,1132,mean,1032,1402,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1032,1402,site 925A
"Zhang et al., 2013",,36.48,,,2622,mean,2417,3212,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),2417,3212,site 925A
"Zhang et al., 2013",,36.81,,,1247,mean,1087,1617,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1087,1617,site 925A
"Zhang et al., 2013",,37.1,,,939,mean,877,1136,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),877,1136,site 925A
"Zhang et al., 2013",,37.43,,,1042,mean,938,1309,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),938,1309,site 925A
"Zhang et al., 2013",,38.55,,,798,mean,737,975,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),737,975,site 925A
"Zhang et al., 2013",,38.25,,,898,mean,802,1137,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),802,1137,site 925A
"Zhang et al., 2013",,38.62,,,863,mean,754,1116,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),754,1116,site 925A
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,12.81,,,283,mean,261,306,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),239,328, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.60,,,271,mean,250,291,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),230,312, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.64,,,303,mean,280,327,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),256,351, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.65,,,306,mean,282,330,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),258,355, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.66,,,305,mean,282,328,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),259,352, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.67,,,308,mean,284,331,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),261,355, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.67,,,289,mean,267,312,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),244,334, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.68,,,261,mean,241,282,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),221,304, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.69,,,294,mean,272,317,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),249,339, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.70,,,271,mean,249,294,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),227,317, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.71,,,301,mean,279,324,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),256,346, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.72,,,292,mean,271,315,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),250,338, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.74,,,305,mean,283,329,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),260,352, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.75,,,305,mean,279,331,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),253,358, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.76,,,292,mean,270,315,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),249,338, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.77,,,340,mean,313,368,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),285,395, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.77,,,313,mean,289,336,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),266,360, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.78,,,313,mean,286,339,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),260,365, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.79,,,294,mean,272,318,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),250,341, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.79,,,315,mean,288,345,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),261,374, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.80,,,329,mean,306,354,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),283,378, 
"Badger et al., 2013b",,2.81,,,282,mean,261,304,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),239,326,site 999A
"Badger et al., 2013b",,2.85,,,294,mean,269,320,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),244,346,site 999A
"Badger et al., 2013b",,2.86,,,288,mean,269,307,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),250,326,site 999A
"Badger et al., 2013b",,2.90,,,270,mean,252,288,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),234,306,site 999A
"Badger et al., 2013b",,2.92,,,278,mean,260,297,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),242,315,site 999A
"Badger et al., 2013b",,2.93,,,270,mean,252,288,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),235,306,site 999A
"Badger et al., 2013b",,2.94,,,307,mean,285,330,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),262,353,site 999A
"Badger et al., 2013b",,2.98,,,258,mean,242,275,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),225,292,site 999A
"Badger et al., 2013b",,3.00,,,255,mean,239,272,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),222,289,site 999A
"Badger et al., 2013b",,3.02,,,265,mean,247,283,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),229,301,site 999A
"Badger et al., 2013b",,3.03,,,262,mean,240,285,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),219,308,site 999A
"Badger et al., 2013b",,3.07,,,284,mean,253,318,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),221,352,site 999A
"Badger et al., 2013b",,3.09,,,254,mean,237,271,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),220,288,site 999A
"Badger et al., 2013b",,3.10,,,275,mean,255,296,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),235,316,site 999A
"Badger et al., 2013b",,3.11,,,271,mean,253,290,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),234,309,site 999A
"Badger et al., 2013b",,3.13,,,272,mean,254,290,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),236,308,site 999A
"Badger et al., 2013b",,3.16,,,278,mean,258,298,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),238,318,site 999A
"Badger et al., 2013b",,3.18,,,259,mean,239,280,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),218,301,site 999A
"Badger et al., 2013b",,3.19,,,274,mean,255,294,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),235,314,site 999A
"Badger et al., 2013b",,3.20,,,272,mean,254,290,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),237,308,site 999A
"Badger et al., 2013b",,3.21,,,267,mean,245,290,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),222,313,site 999A
"Badger et al., 2013b",,3.22,,,265,mean,246,285,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),227,304,site 999A
"Badger et al., 2013b",,3.24,,,273,mean,253,293,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),233,314,site 999A
"Badger et al., 2013b",,3.26,,,270,mean,251,290,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),231,310,site 999A
"Badger et al., 2013b",,3.27,,,262,mean,244,280,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),225,299,site 999A
"Badger et al., 2013b",,3.28,,,258,mean,241,275,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),224,291,site 999A
"Badger et al., 2013b",,3.29,,,276,mean,257,295,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),238,315,site 999A
"Naafs et al., 2016","OAE 1a isotope stage C2; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",120.3,120.4,120.2,972,mean,699,1388,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),699,1388,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C2; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",120.3,120.4,120.2,975,mean,799,1221,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),799,1221,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C3; chronology of OAE1a from the astronomically-tuned record of Bottini et al., 2015",120.1,120.2,120.1,896,mean,692,1194,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),692,1194,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C3; chronology of OAE1a from the astronomically-tuned record of Bottini et al., 2015",120.1,120.2,120.1,915,mean,753,1141,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),753,1141,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C3; chronology of OAE1a from the astronomically-tuned record of Bottini et al., 2015",120.1,120.2,120.1,1437,mean,934,2289,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),934,2289,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C3; chronology of OAE1a from the astronomically-tuned record of Bottini et al., 2015",120.1,120.2,120.1,1596,mean,1050,2517,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1050,2517,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C4; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",119.9,120.1,119.8,1255,mean,952,1716,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),952,1716,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C4; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",119.9,120.1,119.8,1942,mean,1409,2829,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1409,2829,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C4; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",119.9,120.1,119.8,2187,mean,1426,3596,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1426,3596,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C4; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",119.9,120.1,119.8,1845,mean,1011,3440,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1011,3440,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C5; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",119.6,119.8,119.3,2058,mean,1358,3326,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1358,3326,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C5; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",119.6,119.8,119.3,2005,mean,1381,3099,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1381,3099,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C5; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",119.6,119.8,119.3,2005,mean,1321,3231,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1321,3231,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C5; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",119.6,119.8,119.3,1746,mean,1233,2600,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1233,2600,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C5; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",119.6,119.8,119.3,1634,mean,1009,2731,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1009,2731,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
"Naafs et al., 2016","OAE 1a isotope stage C6; chronology of OAE1a from the astronomically-tuned record of Malinverno et al., 2010",119.1,119.3,119.0,1379,mean,1041,1900,"uncertainties correspond to the likely ranges in b (150-200) and δ13CDIC along with the 1σ spread in the various δ13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),1041,1900,"alkenones were not measured; instead, a combination of four phytoplankton biomarkers were measured; from Cau site"
